pdf_filename,pdf_path,procedure_category,specific_procedure,confidence_score,task_id,task_category,task_subcategory,task_description,timing,frequency,duration,importance_level,prerequisites,contraindications,warning_signs,special_equipment,provider_contact,follow_up_required,notes,is_new_category
[94%] guideline-disinfection-h.pdf,agent_output/organized_pdfs/Cardiac Surgery/[94%] guideline-disinfection-h.pdf,Cardiac Surgery,Cardiac Surgery,0.94,[94%] guideline-disinfection-h_1,Hygiene,,"When properly used, these cleaning, disinfection, and sterilization processes can reduce the risk for infection associated with use of invasive and noninvasive medical and surgical devices.",,,,medium,,,,device,,False,pattern,False
[94%] guideline-disinfection-h.pdf,agent_output/organized_pdfs/Cardiac Surgery/[94%] guideline-disinfection-h.pdf,Cardiac Surgery,Cardiac Surgery,0.94,[94%] guideline-disinfection-h_2,Insurance,,"When chemicals are used to destroy all forms of microbiologic life, they can be called chemical sterilants.",,,,medium,,,,,,False,pattern,True
[55%] quick_contact_directory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[55%] quick_contact_directory.pdf,Cardiac Surgery,Cardiac Surgery,0.55,[55%] quick_contact_directory_1,Uncategorized,,"When you refer a patient to University of Iowa Health Care, you are placing trust in us.",,,,medium,,,,,,False,pattern,False
[55%] quick_contact_directory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[55%] quick_contact_directory.pdf,Cardiac Surgery,Cardiac Surgery,0.55,[55%] quick_contact_directory_2,Pet Care,,"Once the relationship is established, the provider group will begin receiving notifications through UI Care Link.",,,,medium,,,,,,False,pattern,True
[65%] ASMBS-IFSO-Guidelines-2022-PIIS1550728922006414.pdf,agent_output/organized_pdfs/Cardiac Surgery/[65%] ASMBS-IFSO-Guidelines-2022-PIIS1550728922006414.pdf,Cardiac Surgery,Cardiac Surgery,0.65,[65%] ASMBS-IFSO-Guidelines-2022-PIIS1550728922006414_1,Uncategorized,,Report [monograph on the Internet].,,,,medium,,,,,,False,pattern,False
[100%] ncd103c1_Part1.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] ncd103c1_Part1.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] ncd103c1_Part1_1,Vision,,Contact Lens for Corneal Bandage 80.,,,,medium,,,,,,False,pattern,True
[100%] ncd103c1_Part1.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] ncd103c1_Part1.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] ncd103c1_Part1_2,Pain Management,,Within an Institution - Coverage of Services and Supplies Incident to a Physician’s Services 70.,,,,medium,,,,,,False,pattern,False
[100%] ncd103c1_Part1.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] ncd103c1_Part1.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] ncd103c1_Part1_3,Sleep Positioning,,"When a change in policy or procedure is involved, the background and effective date for the change is provided.",,,,medium,,,,,,False,pattern,False
[100%] ncd103c1_Part1.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] ncd103c1_Part1.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] ncd103c1_Part1_4,Pain Management,,"When used for the purpose of treating acute post -operative pain, TENS devices are considered supplies.",,,,medium,,,,device,,False,pattern,False
[100%] ncd103c1_Part1.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] ncd103c1_Part1.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] ncd103c1_Part1_5,Medication Management,,Exercise Therapy (SET) for Symptomatic Peripheral Artery Disease (PAD) 30 - Complementary and Alternative Medicine 30.,,,,medium,,,,,,False,pattern,False
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_1,Uncategorized,,Call Your Physician If .,,,,medium,,,,,,False,pattern,False
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_2,Pet Care,,"Check with your doctor or healthcare provider about which medications you should take, and what you should not take.",,,,medium,,,,,,False,pattern,True
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_3,Hearing,,"Remove all jewelry (including rings, watches, necklaces and earrings) before coming to the hospital.",,,,medium,,,,,,False,pattern,True
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_4,Activity Restrictions,,You should expect to be out of bed and walking the frst day after surgery.,,,,medium,,,,,,False,pattern,False
