category_name,first_discovered,frequency_count,example_tasks,confidence
Hearing,2025-08-19T12:02:31.416530,201,"Remove all jewelry (including rings, watches, necklaces and earrings) before coming to the hospital.; You may hear your doctor call this backward fow of blood leaking or regurgitation.; After Heart Surgery Recovery at Home .",high
Work Return,2025-08-19T12:02:32.731699,83,"Contact with healthcare staff “Nice to start up in a safe and good environment ”,“It did not fit my ; Return to work after cardiac valvular surgery.; Check with your surgeon and get cleared before returning to work.",high
Insurance,2025-08-19T12:02:32.731856,76,"Once symptomatic, heart valve disease severely restricts theperformance of daily livi ng and heart v; When the structu ral analysis invalidated the naive understanding, the whole text was read again and; Within the hermeneutical qualitative methodology, thefollowing criteria can be used to assess the st",high
Smoking,2025-08-19T12:02:33.954132,20,"You may have CAD because of high blood pressure, high cholesterol, diabetes, smoking, too much alcoh; Do not smoke any tobacco products or recreational drugs.; Stop smoking cigarettes 6 weeks before surgery.",high
Bowel Bladder,2025-08-19T12:02:36.070121,68,You may use a stool softener or laxative of your choice.; You may use a stool softener or laxative if needed.; Take a stool softener with pain medication to prevent constipation (like Ducolax which is sold over-,high
Sexual Activity,2025-08-19T12:02:36.070961,29,"You can resume sexual relations when you feel comfortable.; You should ask the hospital staff about risk factors, diet, medication instruction, sexual activity,; You can have sex once you feel comfortable, unless advised otherwise by your health care professiona",high
Travel,2025-08-19T12:02:36.071878,38,"When traveling, be sure to get out of the car every 2 hours and walk around for a few minutes.; Contact Lens(es) While Flying?; Take and Still Be Safe to Fly?",high
Dental,2025-08-19T12:02:36.404398,55,"After Transfemoral Aortic Valve Replacement.; Do not use the body wash on your face, eyes, ears, mouth or hair.; Once you're sedated, your doctor makes a puncture in an artery, usually the femoral artery in your g",high
Vision,2025-08-19T12:02:40.275603,56,"Do not wear contact lenses to the operating room.; Contact lenses can be worn as soon as you feel like it, but glasses cannot be worn until your nose i; After your nose splint is removed, tape your glasses to your forehead or prop them on your cheeks un",high
Mental Health,2025-08-19T12:02:42.444444,3,"You may take the Xanax every 8 hours for the first 24/ 48 hours for anxiety.; After hip arthroplasty micro-video education can improve the depression of patients, reduce the degr; After THR surgery, patients with high anxiety and a history of falling were shown to experience fear",medium
Scar Care,2025-08-19T12:02:42.551416,40,"Do not use any creams or oils on your scars during this time.; While you’re encouraged to look at your scar line as soon as you feel ready, it is a very personal j; Avoid exposing scars to sun for at least 12 months.",high
Administrative,2025-08-19T13:48:18.396502,11,"You may file a complaint with the State of Georgia Nonpublic Postsecondary Education Commission (GNP; You may also file a complaint about Emory University with the State of Georgia Nonpublic Postseconda; Ice may be applied to the s urgical area to help with pain, Avoid direct contact with the skin, as t",high
Medical Information,2025-08-19T13:48:18.397805,5,After Transcatheter Aortic Valve Replacement) trial will examine the effects of Edoxaban versus DAPT; After Transcatheter Aortic Valve Replacement) trial will examine the effects of Edoxaban versus DAPT; After Transcatheter Aortic Valve Replacement) trial will examine the effects of Edoxaban versus DAPT,medium
Pre-procedure,2025-08-19T13:48:18.398345,27,"Before your procedure, your cardiologist will explain the procedure to you and get your consent. Whe; When you get home from the hospital, you might have: • Reduced appetite — It may take a few weeks fo; Before Surgery Cardiac Pre-Operation Education Class 7 Pre-anesthesia Assessment 9 Preparing Your Bo",high
