pdf_filename,pdf_path,procedure_category,specific_procedure,confidence_score,task_id,task_category,task_subcategory,task_description,timing,frequency,duration,importance_level,prerequisites,contraindications,warning_signs,special_equipment,provider_contact,follow_up_required,notes,is_new_category,enhanced,description_length
[55%] quick_contact_directory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[55%] quick_contact_directory.pdf,Cardiac Surgery,Cardiac Surgery,0.55,[55%] quick_contact_directory_1,Uncategorized,,"When you refer a patient to University of Iowa Health Care, you are placing trust in us. Providing the best medical care—and coordinating and communicating your patient’s care with you—is a privilege and a responsiblity we take seriously. UI Care.",,,,medium,,,,,,False,pattern,False,True,247
[55%] quick_contact_directory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[55%] quick_contact_directory.pdf,Cardiac Surgery,Cardiac Surgery,0.55,[55%] quick_contact_directory_2,Uncategorized,,"Once the relationship is established, the provider group will begin receiving notifications through UI Care. Link. Specific medical information for those patients who have listed you as their referring provider in our system will be available to your provider group for 90 days following the last referred encounter with University of Iowa Health Care.",,,,medium,,,,,,False,pattern,True,True,352
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_1,Uncategorized,,Call Your Physician If .,,,,medium,,,,,,False,pattern,False,False,24
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_2,Medication Management,,"Check with your doctor or healthcare provider about which medications you should take, and what you should not take. ■ Skin prep.",,,,medium,,,,,,False,pattern,True,True,129
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_3,Hearing,,"Remove all jewelry (including rings, watches, necklaces and earrings) before coming to the hospital. ■ Cough. One of the two most important things you can do to improve your recovery time and lessen complications is coughing and deep breathing after surgery.",,,,medium,,,,,,False,pattern,True,True,258
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_4,Activity Restrictions,,You should expect to be out of bed and walking the frst day after surgery. You may be out of bed the evening of surgery. ■ Activity restriction.,,,,medium,,,,,,False,pattern,False,True,144
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_5,Sleep Positioning,,You may be out of bed the evening of surgery. ■ Activity restriction. Activity restrictions are related to the chest incision and limits any lifting to 10 pounds for six weeks.,,,,low,,,,,,False,pattern,False,True,176
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_6,Hearing,,"You may hear your doctor call this backward fow of blood leaking or regurgitation. 8 On Your Way to a Strong Heart D D D D D D D D D D Coronary Artery Disease Risk Factors The exact causes of heart disease are unknown; however, certain risk factors have been identifed. A risk factor is a condition or habit that will increase a person’s chance of having a heart attack.",,,,low,,,,,,False,pattern,True,True,370
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_7,Uncategorized,,Before Your Surgery .,,,,medium,,,,,,False,pattern,False,False,21
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_8,Hearing,,After Heart Surgery Recovery at Home ...,,,,medium,,,,,,False,pattern,True,True,40
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_9,Hearing,,After Heart Surgery .,,,,medium,,,,,,False,pattern,True,False,21
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_10,Hearing,,"Before Your Surgery Plan early for going home. Discuss with your family where the best place to recuperate would be. If you require a skilled nursing facility at discharge, you should ask to speak with a social worker as soon as possible.",,,,medium,,,,,,False,pattern,True,True,238
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_11,Uncategorized,,After surgery you will be in the Intensive Care Unit for 12 to 24 hours before transferring to the Cardiovascular Progressive Care Unit. ■ Normal Stay. Expect to be in the hospital for four days after surgery.,,,,medium,,,,,,False,pattern,False,True,209
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_12,Hearing,,"When narrowing occurs, the heart is not able to receive enough oxygenated blood. The lack of oxygenated blood may cause the individual to experience chest pain (angina pectoris). This pain usually occurs when the heart’s oxygen demand is greater than the oxygen supply as in times of physical or emotional stress.",,,,medium,,,,,,False,pattern,True,True,313
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_13,Activity Restrictions,,Exercises for Your Lungs .,,,,medium,,,,,,False,pattern,False,False,26
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_14,Activity Restrictions,,"Exercise can help control other risk factors, such as high blood cholesterol, diabetes, obesity and stress.",,,,medium,,,,,,False,pattern,False,False,107
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_15,Activity Restrictions,,Exercise can also help lower blood pressure in some people.,,,,medium,,,,,,False,pattern,False,False,59
[92%] som107ap_l_ambulatory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] som107ap_l_ambulatory.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] som107ap_l_ambulatory_1,Pain Management,,Do not provide the ASC with advance notice of the survey. Tasks in the Survey Protocol The tasks included in a survey protocol for an ASC are: Task 1 Off-Site Survey Preparation; Task 2 Entrance Activities; Task 3 Information Gathering/Investigation; Task 4 Preliminary Decision -Making and Analysis of Findings; Task 5 Exit Conference; and Task 6 Post-Survey Activities. Task 1 – Off-Site Preparation General Objectives The objectives of this task are to determine the size and composition of the survey team and to analyze information about the provider/supplier in order to identify areas of potential focus during the survey.,,,,medium,,,,,,False,pattern,False,True,629
[92%] som107ap_l_ambulatory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] som107ap_l_ambulatory.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] som107ap_l_ambulatory_2,Uncategorized,,"Do not delay the survey because the Administrator is not available. Entrance Conference The entrance conference sets the tone for the entire survey. Surveyors must be prepared and courteous, and make requests, not demands.",,,,medium,,,,,,False,pattern,False,True,222
[92%] som107ap_l_ambulatory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] som107ap_l_ambulatory.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] som107ap_l_ambulatory_3,Uncategorized,,"When daily team meetings will take place if needed; and • The anticipated date and time of the Exit Conference. For surveys involving only one surveyor, that surveyor also needs to gather background information and plan the strategy for the survey prior to arriving on- site. NOTE: Conduct ASC surveys during the ASC’s normal business hours.",,,,medium,,,,,,False,pattern,False,True,341
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_1,Uncategorized,,"After Surgery (ERAS) Society Recommendations:A 2021 Update Erik Stenberg1•Luiz Fernando dos Reis Falca ˜o2•Mary O’Kane3•Ronald Liem4,5• Dimitri J. Pournaras6•Paulina Salminen7,8•Richard D. Urman9•Anupama Wadhwa10• Ulf O.",,,,medium,,,,,,False,pattern,False,True,220
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_2,Uncategorized,,"After Surgery (ERAS /C210) Society guideline, presenting a consensus for optimal perioperative care in bariatric surgery and providing recommendations for each ERAS itemwithin the ERAS /C210protocol. Methods A principal literature search was performed utilizing the Pubmed, EMBASE, Cochrane databases and Clinical. Trials.",,,,medium,,,,,,False,pattern,False,True,322
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_3,Pain Management,,"After critical appraisal of these studies, the group of authors reached consensus regarding recommendations.Results The quality of evidence for many ERAS interventions remains relatively low in a bariatric setting and evidence-based practices may need to be extrapolated from other surgeries. Conclusion A comprehensive, updated evidence-based consensus was reached and is presented in this review by the ERAS/C210Society.",,,,medium,,,,,,False,pattern,False,True,422
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_4,Uncategorized,,"After Surgery (ERAS) Society in 2016 [ 7]. Given the continued increase in bariatric sur- gery being performed worldwide, as well as the increasing popularity of novel surgical techniques, the evidence underpinning the recommendations is continuously evolv-ing. Therefore, clinical guidelines need to be challenged and updated on a regular basis.",,,,medium,,,,,,False,pattern,False,True,346
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_5,Diet & Nutrition,,"While feasible, patients with diabetes and treatment with glucose- lowering drugs should closely monitor treatment effects, and be aware of the risk for hypoglycaemia. Very low calorie diet improves insulin sensitivity in patients with diabetes. Postoperative weight loss: Low.",,,,medium,,,,,,False,pattern,False,True,277
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_6,Uncategorized,,"When CHO were administered to patients with T2D (mean BMI 28.6 kg/m2), no differences were noted in gastric emptying times compared with healthy subjects [ 87]. However, postprandial glucose concentrations reached a higher peak and were elevated for longer time in patients with diabetes [87].",,,,medium,,,,,,False,pattern,False,True,293
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_7,Activity Restrictions,,No difference was found for the six-minute walking test.,,,,medium,,,,,,False,pattern,False,False,56
