category_name,first_discovered,frequency_count,example_tasks,confidence
Insurance,2025-08-19T11:17:15.030699,95,"When chemicals are used to destroy all forms of microbiologic life, they can be called chemical ster; Once symptomatic, heart valve disease severely restricts theperformance of daily livi ng and heart v; When the structu ral analysis invalidated the naive understanding, the whole text was read again and",high
Pet Care,2025-08-19T11:17:15.259172,264,"Once the relationship is established, the provider group will begin receiving notifications through ; Check with your doctor or healthcare provider about which medications you should take, and what you ; After an angioplasty, you will be prescribed two anti-platelet medications that you must take as pre",high
Vision,2025-08-19T11:17:15.610453,61,"Contact Lens for Corneal Bandage 80.; After three re-view and subsequent revision rounds, the ﬁnal document was approved and submitted to ; No post -op doses needed (q24h hour dosing) Stanford Antimicrobial Safety and Sustainability Program",high
Hearing,2025-08-19T11:17:15.802951,217,"Remove all jewelry (including rings, watches, necklaces and earrings) before coming to the hospital.; You may hear your doctor call this backward fow of blood leaking or regurgitation.; After Heart Surgery Recovery at Home .",high
Work Return,2025-08-19T11:17:16.367262,84,"Contact with healthcare staff “Nice to start up in a safe and good environment ”,“It did not fit my ; Return to work after cardiac valvular surgery.; Check with your surgeon and get cleared before returning to work.",high
Smoking,2025-08-19T11:17:17.434163,21,"You may have CAD because of high blood pressure, high cholesterol, diabetes, smoking, too much alcoh; Do not smoke any tobacco products or recreational drugs.; Contact lenses  Tobacco products and accessories, the hospital campus is smoke and tobacco‐free.",high
Bowel Bladder,2025-08-19T11:17:19.167406,68,You may use a stool softener or laxative of your choice.; You may use a stool softener or laxative if needed.; Take a stool softener with pain medication to prevent constipation (like Ducolax which is sold over-,high
Sexual Activity,2025-08-19T11:17:19.168261,29,"You can resume sexual relations when you feel comfortable.; You should ask the hospital staff about risk factors, diet, medication instruction, sexual activity,; You can have sex once you feel comfortable, unless advised otherwise by your health care professiona",high
Travel,2025-08-19T11:17:19.169121,39,"When traveling, be sure to get out of the car every 2 hours and walk around for a few minutes.; When any of these behaviors are exhibited, the patientmay bene ﬁt from medication administered at ho; Contact Lens(es) While Flying?",high
Dental,2025-08-19T11:17:19.423721,56,"After Transfemoral Aortic Valve Replacement.; Do not use the body wash on your face, eyes, ears, mouth or hair.; Once you're sedated, your doctor makes a puncture in an artery, usually the femoral artery in your g",high
Scar Care,2025-08-19T11:17:23.216773,42,"Avoid wearing lotion or cosmetics, especially mascara.; Do not use any creams or oils on your scars during this time.; While you’re encouraged to look at your scar line as soon as you feel ready, it is a very personal j",high
Mental Health,2025-08-19T11:17:23.549783,3,"You may take the Xanax every 8 hours for the first 24/ 48 hours for anxiety.; After hip arthroplasty micro-video education can improve the depression of patients, reduce the degr; After THR surgery, patients with high anxiety and a history of falling were shown to experience fear",medium
