pdf_filename,procedure_description,typical_duration,anesthesia_type,hospital_stay,recovery_timeline,risks_mentioned,category,procedure,confidence
[65%] ASMBS-IFSO-Guidelines-2022-PIIS1550728922006414.pdf,"Original article 2022 American Society for Metabolic and Bariatric Surgery (ASMBS) and International Federation for the Surgery of Obesity and Metabolic Disorders (IFSO): Indications for Metabolic and Bariatric Surgery Dan Eisenberg, M",,,,,"['infection', 'complications']",Cardiac Surgery,Cardiac Surgery,0.65
[100%] ncd103c1_Part1.pdf,1 - Use of Visual Tests Prior to and General Anesthesia During Cataract Surgery 10,,General,,,[],Cardiac Surgery,Cardiac Surgery,1.0
[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Care On Your Way to a STRONG Heart Heart Surgery Information 1 On Your Way to a Strong Heart UR Medicine Strong Memorial Hospital Welcome Welcome to UR Medicine Cardiac Care,,,,,"['infection', 'complications']",Cardiac Surgery,Cardiac Surgery,1.0
[92%] som107ap_l_ambulatory.pdf,State Operations Manual Appendix L - Guidance for Surveyors: Ambulatory Surgical Centers Table of Contents (Rev,,,,,['infection'],Cardiac Surgery,Cardiac Surgery,0.92
[92%] s00268-021-06394-9.pdf,"SCIENTIFIC REVIEW Guidelines for Perioperative Care in Bariatric Surgery: Enhanced Recovery After Surgery (ERAS) Society Recommendations:A 2021 Update Erik Stenberg1•Luiz Fernando dos Reis Falca ˜o2•Mary O’Kane3•Ronald Liem4,5• Dimitri J",,regional,,,"['bleeding', 'infection', 'complications']",Cardiac Surgery,Cardiac Surgery,0.92
[59%] 1472-6955-12-23.pdf,"Patients are at risk of developing depression, anxiety or post-traumatic stress disorder after heart valve surgery",,,,,"['blood clot', 'scarring', 'complications']",Cardiac Surgery,Cardiac Surgery,0.59
[87%] pr-44459-my-angiogram-guide-acc.pdf,My Angiogram Including Treatment Options and After-Procedure Care Date of Procedure: ________________________ Table of Contents Timeline 3 Introduction 5 How to Use this Guide,,,,,[],Cardiac Surgery,Cardiac Surgery,0.87
[96%] som-2024-2025-82024.pdf,"In addition, the Student Handbook contains policies and procedures for areas such as admissions, academic and professional standards, progress and promotion, financial aid, student organizations, disability insurance, academic and personal counseling, and student health",,,,,[],Cardiac Surgery,Cardiac Surgery,0.96
[88%] jbmr_4691.pdf,"Foundation, Florence, Italy 4Mayo Clinic Division of Endocrinology, Diabetes, Metabolism, and Nutrition, Rochester, MN, USA 5Centre for Endocrinology Diabetes & Metabolism, Queen Elizabeth Hospital, Birmingham, UK 6Department of Surgery and Oncology, Cumming School of Medicine, University of Calgary, Calgary, AB, Canada 7Department of Endocrinology and Internal Medicine, Aarhus University Hospital, Aarhus, Denmark 8Endocrine Research Unit, San Francisco Veterans Affairs Medical Center, Universit",,,,,"['infection', 'complications']",Cardiac Surgery,Cardiac Surgery,0.88
[100%] 2023-CPG-on-the-Management-of-Atherosclerotic-Carotid-and-Vertebral-Artery-Disease.pdf,"CLINICAL PRACTICE GUIDELINE DOCUMENT European Society for Vascular Surgery (ESVS) 2023 Clinical Practice Guidelines on the Management of Atherosclerotic Carotid and Vertebral Artery Disease5 Ross Naylora,*, Barbara Rantnera, Stefano Ancettia, Gert J",,regional,,,"['bleeding', 'infection', 'complications']",Cardiac Surgery,Cardiac Surgery,1.0
